Dates,traded_dollars,asset_turnover,signal_change_day,nonzero_rebalance_day,BRL_traded_dollars,AUD_traded_dollars,BCOM_traded_dollars,XAU_traded_dollars
2002-04-11,269966.6577100158,0.002702835415437806,False,True,28875.06633607298,2681.7538236379623,134983.32885500416,103426.50869530067
2002-04-12,851983.8297283836,0.008534945846670187,False,True,77307.92660922557,221840.42129882053,425991.9148641899,126843.56695614755
2002-04-15,555616.7129307464,0.005604879068847765,False,True,62046.91337212175,141897.66511371732,215761.44309325516,135910.69135165215
2002-04-16,1111896.3932165913,0.011224533600145841,False,True,270284.683870893,114871.4148860164,555948.1966082938,170792.09785138816
2002-04-17,202808.38727416098,0.0020447633805631177,False,True,57711.72652417049,16736.874887477607,26955.59222542867,101404.19363708422
2002-04-18,558883.397529114,0.005576195005489453,False,True,259567.6486808844,12216.146575499326,279441.69876456633,7657.903508163989
2002-04-19,315573.4342209175,0.0031489743981994948,False,True,138876.03702343628,22061.124197702855,18910.680087022483,135725.5929127559
2002-04-22,284735.7825231105,0.00283728265408218,False,True,53669.712117411196,82885.00207817927,5813.177065953612,142367.89126156643
2002-04-23,286294.20621794835,0.0028537227347045385,False,True,138805.08445042372,4342.0186585485935,89499.48600794002,53647.61710103601
2002-04-24,197262.09807569906,0.0019671242388532907,False,True,52828.326580349356,45802.72245750576,25621.2389084287,73009.81012941524
2002-04-25,511420.8162412457,0.005103618909054044,False,True,48690.488203018904,204699.4444901906,207019.91991760954,51010.963630426675
2002-04-26,618539.523670964,0.006165626117125201,False,True,155544.99625328183,40938.958603259176,153724.7655821964,268330.8032322265
2002-04-29,342186.17622571066,0.0033932638908873796,False,True,19457.351409234107,147180.94064115733,4454.796062465757,171093.08811285347
2002-04-30,456765.66568846256,0.004538432557403451,False,True,1880.4199411012232,226502.41290313005,198911.2224966213,29471.610347609967
2002-05-01,502438.81874784455,0.004986555680532295,False,True,73127.9764562957,8202.809754934162,178091.4329176247,243016.59961898997
2002-05-02,432067.7865043804,0.0042969537423088846,False,True,30484.67970546335,109405.80482266843,216033.8932521902,76143.40872405842
2002-05-03,235469.9803499058,0.0023572604148474675,False,True,88637.27818666399,25826.46018333733,29097.71198828891,91908.52999161556
2002-05-06,678519.8198197149,0.0067701799419447786,False,True,339259.909909863,58151.974824242294,31129.270666304976,249978.66441930458
2002-05-07,498176.0792325437,0.004991164957110595,False,True,107274.53791692108,118415.01899033785,141813.50169934332,130673.02062594146
2002-05-08,636579.9331940748,0.006351662810039511,False,True,180891.10774433613,147629.5387291126,137398.85885269567,170660.42786793038
2002-05-09,25534507.921783786,0.2549547237639711,True,True,24908211.601113338,93025.92854217812,285154.900613606,248115.49151466414
2002-05-10,190120.14857413247,0.001894204212644593,False,True,0.0,62416.354499958456,68022.99768815935,59680.79638601467
2002-05-13,96186.88212870061,0.0009546691656704834,False,True,0.0,7414.041494626552,63368.617487601936,25404.223146472126
2002-05-14,250656.65480846912,0.0024806395991838373,False,True,0.0,7569.40986520797,154136.422382053,88950.82256120816
2002-05-15,525365.9186498486,0.005198955947027645,False,True,0.0,9203.866339080036,254357.18033569306,261804.87197507545
2002-05-16,665771.5435277745,0.006602339351079294,False,True,0.0,137874.71244885027,359568.5645223446,168328.26655657962
2002-05-17,138833.0577362217,0.0013758473521341028,False,True,0.0,29875.86065204069,60844.34168568626,48112.85539849475
2002-05-20,240253.58222346008,0.002376524448852591,False,True,0.0,92627.80246769637,96726.61693559587,50899.16282016784
2002-05-21,530972.0696724951,0.005233920373735173,False,True,0.0,68549.0224507302,152719.74022888765,309703.3069928773
2002-05-22,511516.1723977402,0.0050512250980363155,False,True,0.0,171271.1228194572,278568.91440135986,61676.135176923126
2002-05-23,132142.7635651827,0.001300362786002057,False,True,0.0,54740.81986596063,21801.85046254471,55600.09323667735
2002-05-24,407828.84900239855,0.004000292813774483,False,True,0.0,92739.90249070153,69945.99788267165,245142.94862902537
2002-05-27,120100.8206380494,0.001182161713304305,False,True,0.0,15611.743818089366,74654.5453855358,29834.53143442422
2002-05-28,60299.68553072587,0.0005934748649133914,False,True,0.0,31425.75236448273,2551.8191982507706,26322.113967992365
2002-05-29,535625.5409432575,0.005247088217354495,False,True,0.0,129077.44173272327,208302.53566128388,198245.56354925036
2002-05-30,306987.3904809579,0.002994919998150668,False,True,0.0,58143.11024849117,206265.25317816064,42579.02705430612
2002-05-31,749494.5347406827,0.007344822582992918,False,True,0.0,202706.60080168396,432094.1562265679,114693.7777124308
2002-06-03,286667.65266656876,0.0027943675670899313,False,True,0.0,57155.53253887966,211301.5510736294,18210.569054059684
2002-06-04,229677.11478001624,0.002233805433349286,False,True,0.0,115106.76406428218,85951.51443465799,28618.836281076074
2002-06-05,228848.4855576642,0.002218260566661417,False,True,0.0,86252.6728047803,71543.09586169198,71052.7168911919
2002-06-06,400893.17955739424,0.0039165921196196475,False,True,0.0,87368.9073440507,12067.297334745526,301456.974878598
2002-06-07,408069.32022642717,0.003971440447210063,False,True,0.0,17178.666396651417,154871.30954281613,236019.34428695962
2002-06-10,102187.14315447211,0.0009984848021521552,False,True,0.0,43007.436204660684,27268.40643423423,31911.300515577197
2002-06-11,25539453.571003377,0.25156543555729166,True,True,0.0,66205.8067852594,25291271.748727188,181976.01549093053
2002-06-12,170487.43261775747,0.0016768735095710181,False,True,0.0,48315.261811029166,0.0,122172.1708067283
2002-06-13,287963.88231916726,0.0028322614469480463,False,True,0.0,144720.11580232903,0.0,143243.76651683822
2002-06-14,105321.79357359186,0.0010380404153122853,False,True,0.0,70402.38254851848,0.0,34919.41102507338
2002-06-17,450491.9925731309,0.004451370487614077,False,True,0.0,290032.062823873,0.0,160459.92974925786
2002-06-18,163562.353719756,0.0016214221015414885,False,True,0.0,47279.126966599375,0.0,116283.22675315663
2002-06-19,282100.79660584405,0.0027809603418619475,False,True,0.0,168454.36558844522,0.0,113646.43101739883
2002-06-20,59748.654741782695,0.0005883114661422562,False,True,0.0,26232.846473932266,0.0,33515.80826785043
2002-06-21,256009.2977524288,0.002508134944090071,False,True,0.0,138700.995263014,0.0,117308.30248941481
2002-06-24,97842.85256287456,0.000956736756843122,False,True,0.0,91624.51474289969,0.0,6218.3378199748695
2002-06-25,116692.57688552514,0.0011436649839040751,False,True,0.0,1784.602610591799,0.0,114907.97427493334
2002-06-26,104850.98225646093,0.0010297257806254731,False,True,0.0,70257.34707561135,0.0,34593.63518084958
