asset,trade_count,wins,losses,avg_holding_days,median_holding_days,avg_trade_return_unweighted,median_trade_return_unweighted,best_trade,worst_trade,win_rate
BRL,58,27,31,56.5,44.0,0.025539888527665006,-0.0007136529666894598,0.3543529040895794,-0.079139630855664,0.46551724137931033
AUD,64,21,43,52.265625,41.5,0.004689959546041723,-0.013428489523087284,0.28779063838258256,-0.06835226655160798,0.328125
BCOM,50,19,31,68.34,49.0,0.016406322931101093,-0.015164782278543676,0.4990962596888011,-0.0759553506542191,0.38
XAU,58,35,23,65.39655172413794,52.0,0.03508561724115841,0.010621491934474259,0.37101792858201077,-0.19551053928278117,0.603448275862069
