asset,entry_date,exit_date,holding_days,trade_return_unweighted,win
AUD,2013-04-04,2013-05-08,24,-0.02789348190533003,False
AUD,2013-09-19,2013-11-27,49,-0.019449979333174605,False
AUD,2014-02-26,2014-08-12,119,0.038132626644036716,True
AUD,2015-05-04,2015-06-12,29,-0.012614314643492053,False
AUD,2015-10-27,2015-11-24,20,-0.008093305558412811,False
AUD,2015-11-26,2016-01-12,33,-0.030024967011268777,False
AUD,2016-02-29,2016-05-19,58,0.01931903301823734,True
AUD,2016-07-11,2016-09-22,53,0.0051914901783916,True
AUD,2016-09-29,2016-10-07,6,-0.010894618266340306,False
AUD,2016-10-10,2016-11-22,31,-0.027706057064749712,False
AUD,2017-01-30,2017-04-13,53,-0.007048817290936982,False
AUD,2017-06-21,2017-10-09,78,0.02482673856439055,True
AUD,2018-01-04,2018-03-07,44,-0.002070762989473396,False
AUD,2018-11-20,2018-12-31,29,-0.03717606365599435,False
AUD,2019-02-06,2019-02-08,2,-0.017935065604059552,False
AUD,2019-04-19,2019-05-06,11,-0.018805077402340054,False
AUD,2019-07-17,2019-08-07,15,-0.03700936808847777,False
AUD,2019-10-30,2019-12-06,27,-0.006757634228132359,False
AUD,2019-12-13,2020-01-31,35,-0.029489791162122914,False
AUD,2020-05-05,2020-10-09,113,0.11538167333386307,True
AUD,2020-11-23,2021-03-26,89,0.03429716793153159,True
AUD,2021-05-07,2021-06-21,31,-0.03661341444906163,False
AUD,2021-10-21,2021-11-26,26,-0.04275238571144446,False
AUD,2022-03-02,2022-05-04,45,-0.02324451344728906,False
AUD,2022-08-17,2022-09-08,16,-0.041695764562411086,False
AUD,2022-11-25,2023-03-03,70,-0.010156048774453863,False
AUD,2023-06-23,2023-08-14,36,-0.0375801897582444,False
AUD,2023-11-20,2024-02-02,54,0.004221775571637609,True
AUD,2024-04-10,2024-04-11,1,-0.014917108023081993,False
AUD,2024-05-16,2024-08-05,57,-0.023892366736068316,False
AUD,2024-08-30,2024-10-30,43,-0.03600997540594009,False
AUD,2025-02-25,2025-04-09,31,-0.05069944779272084,False
AUD,2025-05-05,2025-08-20,77,-0.0018386886197153673,False
AUD,2025-09-12,2025-10-28,32,-0.014814809575910526,False
AUD,2025-12-15,2026-04-09,83,0.06188035326595176,True
BCOM,2002-03-29,2002-06-11,52,-0.03898268663430671,False
BCOM,2002-07-08,2002-11-13,92,0.02427851764382205,True
BCOM,2002-12-13,2003-03-31,76,0.035386584614024,True
BCOM,2003-05-26,2003-07-14,35,-0.015423889822387071,False
BCOM,2003-08-21,2004-06-11,211,0.21380830376702886,True
BCOM,2004-10-01,2004-12-06,46,-0.0519307303009886,False
BCOM,2005-02-24,2005-05-04,49,-0.025843279507235528,False
BCOM,2005-06-22,2005-11-10,101,0.04184903776342419,True
BCOM,2005-12-21,2006-01-30,28,-0.014835284080274458,False
BCOM,2006-04-17,2006-06-21,47,-0.026221985519891966,False
BCOM,2006-08-01,2006-09-04,24,-0.0490102352271109,False
BCOM,2006-11-03,2007-01-02,42,-0.013907033762296406,False
BCOM,2007-02-22,2007-06-29,91,-0.007201589754913806,False
BCOM,2007-09-24,2007-12-24,65,0.032792935135287804,True
BCOM,2007-12-27,2008-07-30,154,0.09602060632214848,True
BCOM,2009-04-07,2009-07-17,73,0.05858294055040303,True
BCOM,2009-08-10,2010-02-04,128,0.007191261764693646,True
BCOM,2010-04-14,2010-05-13,21,-0.02980608861501266,False
BCOM,2010-07-28,2011-05-19,211,0.26468370775219063,True
BCOM,2011-07-29,2011-08-12,10,-0.04121970636247163,False
BCOM,2011-09-09,2011-09-22,9,-0.053769961965504764,False
BCOM,2012-02-06,2012-03-30,39,-0.038479719562854564,False
BCOM,2012-07-16,2012-10-31,77,0.013383657729503007,True
BCOM,2013-02-06,2013-02-28,16,-0.043915936869353245,False
BCOM,2013-08-30,2013-10-04,25,-0.03581543903580475,False
BCOM,2013-12-25,2014-06-03,114,0.050958231883330374,True
BCOM,2015-05-04,2015-06-16,31,-0.030270997966136748,False
BCOM,2015-10-30,2015-11-04,3,0.009506465040890033,True
BCOM,2016-03-10,2016-07-29,101,0.049769335825641914,True
BCOM,2016-10-10,2016-11-16,27,-0.027584789599422788,False
BCOM,2016-12-09,2017-03-10,65,-0.03411822611718507,False
BCOM,2017-07-26,2017-12-15,102,0.00872312675364939,True
BCOM,2018-01-09,2018-03-19,49,-0.0037381216565872677,False
BCOM,2018-04-24,2018-06-25,44,-0.021015799127303336,False
BCOM,2018-10-04,2018-11-14,29,-0.05965358900134776,False
BCOM,2019-02-14,2019-05-08,59,-0.01490567473470028,False
BCOM,2019-07-15,2019-08-09,19,-0.04914578967245997,False
BCOM,2019-09-24,2019-12-03,50,-0.034194647805144585,False
BCOM,2019-12-24,2020-01-31,28,-0.06334554529374159,False
BCOM,2020-06-04,2021-12-06,392,0.4990962596888011,True
BCOM,2022-01-18,2022-06-30,117,0.18094300827384968,True
BCOM,2022-09-01,2022-09-26,17,-0.0759553506542191,False
BCOM,2022-11-25,2022-12-13,12,-0.032380994887120984,False
BCOM,2023-04-25,2023-05-05,8,-0.040976902023938444,False
BCOM,2023-07-12,2023-10-09,63,-0.0051018329741364665,False
BCOM,2024-03-20,2024-06-26,70,0.018342074109329864,True
BCOM,2024-10-02,2024-11-21,36,-0.027527210800404656,False
BCOM,2025-01-07,2025-04-10,67,0.004440813168501645,True
BCOM,2025-06-17,2025-08-08,38,-0.046901460952031515,False
BCOM,2025-09-17,2026-04-20,154,0.2637397790548226,True
XAU,2002-03-29,2002-07-22,81,0.07037832479762196,True
XAU,2002-09-17,2002-11-01,33,0.0009450307134974967,True
XAU,2002-11-18,2003-03-10,80,0.09421307128373169,True
XAU,2003-05-15,2003-07-14,42,-0.02057029365867502,False
XAU,2003-08-15,2004-02-10,127,0.11149064079792304,True
XAU,2004-04-01,2004-04-30,21,-0.0905147145034585,False
XAU,2004-07-05,2004-08-17,31,0.010805377559995222,True
XAU,2004-08-23,2005-01-11,101,0.016668685645063075,True
XAU,2005-03-09,2005-04-14,26,-0.02644421745545278,False
XAU,2005-04-28,2005-05-09,7,-0.014498115476218154,False
XAU,2005-06-24,2005-07-26,22,-0.03501019714479936,False
XAU,2005-08-08,2006-06-19,225,0.3289503773153457,True
XAU,2006-08-01,2006-09-12,30,-0.07381232822928951,False
XAU,2006-11-10,2007-01-22,51,0.0031417249490852672,True
XAU,2007-01-24,2007-05-31,91,0.010437606308953296,True
XAU,2007-07-26,2008-04-14,187,0.37101792858201077,True
XAU,2008-07-04,2008-08-13,28,-0.12978365822066695,False
XAU,2008-10-10,2008-10-27,11,-0.19551053928278117,False
XAU,2008-12-18,2009-04-14,83,0.029899758036640245,True
XAU,2009-05-22,2009-07-15,38,-0.029461720732244956,False
XAU,2009-08-06,2010-01-07,110,0.18127192345212695,True
XAU,2010-03-09,2010-07-22,97,0.05461762323896657,True
XAU,2010-08-30,2011-01-25,106,0.07801555948716743,True
XAU,2011-03-02,2011-10-07,157,0.15207411851706953,True
XAU,2011-11-18,2011-12-16,20,-0.08771318369812675,False
XAU,2012-02-03,2012-03-27,37,-0.03942485294535558,False
XAU,2012-07-31,2012-11-12,74,0.06727046289674177,True
XAU,2013-08-19,2013-10-04,34,-0.04337592712321259,False
XAU,2014-01-30,2014-04-17,55,0.027766818691116413,True
XAU,2014-07-03,2014-08-27,39,-0.034412070602776845,False
XAU,2015-01-15,2015-03-03,33,-0.01781528745360983,False
XAU,2015-05-08,2015-05-11,1,0.003275616077534238,True
XAU,2015-05-13,2015-06-12,22,-0.00999212690754947,False
XAU,2015-09-28,2015-11-13,34,-0.05321933344966001,False
XAU,2016-01-25,2016-06-06,95,0.13320278701215926,True
XAU,2016-06-22,2016-09-14,60,0.040161814339336965,True
XAU,2017-01-30,2017-05-22,80,0.05434016118200158,True
XAU,2017-06-06,2017-07-04,20,-0.04656977652758243,False
XAU,2017-08-10,2017-10-16,47,0.020762545995459014,True
XAU,2018-01-08,2018-03-20,51,-0.0020764025189644597,False
XAU,2018-04-13,2018-05-08,17,-0.015528787810688227,False
XAU,2018-10-19,2019-03-27,113,0.07333926138634861,True
XAU,2019-06-06,2019-10-22,98,0.11589692705514487,True
XAU,2020-01-01,2020-04-06,68,0.06824098545413682,True
XAU,2020-04-13,2020-10-02,124,0.1233961040874656,True
XAU,2021-01-06,2021-02-02,19,-0.045758739698770645,False
XAU,2021-04-30,2021-07-05,46,0.008531864709002468,True
XAU,2021-09-09,2021-09-24,11,-0.02598839743804704,False
XAU,2021-11-03,2021-12-17,32,0.006482973106010093,True
XAU,2022-01-12,2022-05-09,83,0.03415129556433838,True
XAU,2022-11-18,2023-03-02,74,0.04333007657176635,True
XAU,2023-03-23,2023-06-06,53,-0.004187583434427045,False
XAU,2023-08-07,2023-08-16,7,-0.021056044798781315,False
XAU,2023-10-31,2024-02-13,75,0.01199839687390436,True
XAU,2024-03-06,2024-06-25,79,0.09708934042593165,True
XAU,2024-07-15,2024-12-03,101,0.09442529951107792,True
XAU,2025-01-22,2025-08-21,151,0.21991321803694963,True
XAU,2025-08-26,2026-03-31,155,0.34018639943670226,True
