Label,Ann. Return,Ann. Vol,Sharpe,Max DD,Calmar,Sortino,Stock %,Bond %,Trend %
30/70/0,0.05382200523526737,0.05657851651312171,0.951279894777463,-0.16906063629896428,0.31835917818320136,1.2485157872320936,30,70,0
35/65/0,0.05743787662716282,0.06408430877700322,0.8962861225051477,-0.17359782407481583,0.3308674917630805,1.160837020026973,35,65,0
40/60/0,0.060953700705569824,0.07227886924545836,0.8433128705786975,-0.1964246475461352,0.31031594795787193,1.0792662928147365,40,60,0
45/55/0,0.06436835191214096,0.08095330416204737,0.7951293968593591,-0.22997534684892307,0.2798924006164289,1.0077696912650105,45,55,0
50/50/0,0.06768072871815911,0.08996891784099069,0.7522678980953924,-0.26259993447920194,0.25773322774198737,0.9460079923435551,50,50,0
55/45/0,0.07088975412871834,0.09923276226922224,0.7143785228551005,-0.294256902314459,0.24091110037229196,0.893040811457654,55,45,0
60/40/0,0.07399437617787363,0.10868137947714887,0.6808376608196397,-0.3268328292060487,0.22639823654686955,0.8478386308145721,60,40,0
65/35/0,0.07699356841447047,0.11827049331894783,0.6509955801641653,-0.3589462520476251,0.21449887824502187,0.8087589498480412,65,35,0
30/65/5,0.054514551188159066,0.056603066937813626,0.9631024277898389,-0.1609984262277988,0.3386030066593676,1.2621885705215519,30,65,5
35/60/5,0.05811512958800846,0.06436499959880007,0.9028995564398618,-0.17210382445424333,0.33767482955301403,1.1671067118771317,35,60,5
40/55/5,0.06161546274453622,0.07275689223238965,0.8468677104532301,-0.20360312790660706,0.30262532495472905,1.0812738214384836,40,55,5
45/50/5,0.06501442884127417,0.08158458045888707,0.7968960369176245,-0.23429787662471968,0.27748620592669426,1.008645427320508,45,50,5
50/45/5,0.06831093017971113,0.09072093681926316,0.7529786681524476,-0.26591974968357013,0.256885508733358,0.9464894027117131,50,45,5
55/40/5,0.07150389368210641,0.10008146278633225,0.7144569203066388,-0.29871182328117585,0.2393741663676974,0.8936220211503935,55,40,5
60/35/5,0.07459227138521474,0.10960874151688027,0.6805321396170503,-0.3310970759761517,0.225288221483984,0.8484588784083621,60,35,5
65/30/5,0.07757504092464007,0.11926281670223797,0.6504545429135783,-0.36239869242387523,0.2140599360493977,0.8087956991487784,65,30,5
30/60/10,0.055188817849726624,0.05694001975416983,0.9692447963312313,-0.15320317170659958,0.36023286747234645,1.2666985176754098,30,60,10
35/55/10,0.05877401367409307,0.06491831576818972,0.9053533348579664,-0.17948597701665625,0.32745741283531504,1.1661605582592534,35,55,10
40/50/10,0.06225876832301025,0.0734736401856241,0.8473619677168498,-0.21073466986134182,0.2954367611365276,1.0786066231495322,40,50,10
45/45/10,0.06564196375363673,0.08242651326757607,0.7963695314946455,-0.2411837512985764,0.27216577982641316,1.0058515360562075,45,45,10
50/40/10,0.06892250612889317,0.09166051813157211,0.7519323208489815,-0.27083380942752977,0.25448265220127764,0.9440039208381242,50,40,10
55/35/10,0.07209932631887805,0.10109865125817284,0.7131581422857955,-0.30385756238263406,0.23728001289000877,0.8907580407705671,55,35,10
60/30/10,0.07517138039315974,0.11068870852833274,0.6791241978753261,-0.33604792150544716,0.2236924426028365,0.8455315531974443,60,30,10
65/25/10,0.07813765010362728,0.12039439070195007,0.6490140416679866,-0.3671360556077482,0.21283022713277258,0.8062188057821744,65,25,10
30/55/15,0.05584476507058356,0.05758389114449876,0.9697983925825522,-0.1550264703429537,0.36022728858524794,1.264305429196658,30,55,15
35/50/15,0.05941448946189998,0.065737373524509,0.9038159919752248,-0.1868200026284771,0.31803066387947576,1.1609883407026707,35,50,15
40/45/15,0.0628835787547497,0.07442221606372146,0.8449570851384995,-0.21781939010833307,0.2886959637683054,1.073663968980157,40,45,15
45/40/15,0.06625091871149813,0.08347272858332062,0.7936833961929007,-0.24802409962703864,0.267114844126525,1.0010292815609005,45,40,15
50/35/15,0.06951541938753136,0.0927819637528181,0.7492341892302312,-0.2774347949283922,0.2505648918531425,0.938776642980215,50,35,15
55/30/15,0.07267601563127446,0.10227930086722807,0.7105642589952531,-0.30900267083374655,0.23519542868409868,0.8863744244676992,55,30,15
60/25/15,0.07573166757502614,0.11191686281040775,0.6766778988731933,-0.3409975489094166,0.22208859804779327,0.8418026890123368,60,25,15
65/20/15,0.07868136111629753,0.12166132986340973,0.6467244867751635,-0.3718944737520833,0.2115690516249753,0.802882368792951,65,20,15
30/50/20,0.05648235358518838,0.05852455207838264,0.9651052691448349,-0.16256532523747935,0.34744404135800544,1.2551491484021091,30,50,20
35/45/20,0.06003651841763791,0.06681240034994153,0.8985834680865563,-0.19410601939034178,0.3092975612307321,1.1516316266283773,35,45,20
40/40/20,0.0634898562490207,0.07559389322188333,0.8398807568048542,-0.2248574072353272,0.2823560808142497,1.0654853627819798,40,40,20
45/35/20,0.06684125667829877,0.08471565824413543,0.7890071099450608,-0.25481904047980075,0.2623087213280563,0.9938936839362175,45,35,20
50/30/20,0.07008963368417875,0.0940787702853727,0.7450100960245676,-0.28399165733451015,0.24680173474821857,0.9325749475573868,50,30,20
55/25/20,0.07323392612370783,0.10361782420246872,0.7067695803051133,-0.3141466134097505,0.23312021520406048,0.8813491103352233,55,25,20
60/20/20,0.0762730982216353,0.11328838499102507,0.6732649443954719,-0.34594544769051583,0.22047724209358444,0.837085368922137,60,20,20
30/45/25,0.05710154501536424,0.05974798640545775,0.9557066011876215,-0.17005497614400333,0.33578285275821856,1.2402861354555805,30,45,25
35/40/25,0.060640062900711555,0.06813128070158767,0.890047306850324,-0.2013441473551829,0.3011761886166918,1.1387747800182757,35,40,25
40/35/25,0.06407756391400188,0.07697848496784893,0.8324087430502785,-0.23184884169311615,0.2763764677281302,1.0552382683441797,40,35,25
45/30/25,0.06741294152200639,0.08614678806100215,0.7825357513534924,-0.2615686945027893,0.2577255724357622,0.9846816432537059,45,30,25
50/25/25,0.07064511365741599,0.09554379752701982,0.7394003115423325,-0.2905045172926918,0.24318077500405605,0.9251886412579519,50,25,25
55/20/25,0.07377302321600254,0.10510819000399663,0.7018770203653721,-0.3192888589493633,0.2310541728851941,0.8754770179190214,55,20,25
30/40/30,0.05770230187375347,0.06123724822308552,0.9422745722267868,-0.17749554452238103,0.3250915510528637,1.2199673156700606,30,40,30
35/35/30,0.061225086167117526,0.06968016924817065,0.8786586890892907,-0.2085345085008825,0.2935969044512286,1.1237307422282181,35,35,30
40/30/30,0.06464666576013145,0.07856473515736398,0.8228458433754681,-0.23879381576889114,0.27072169164840365,1.0420022593482086,40,30,30
45/25/30,0.06796593801840167,0.08775691107607919,0.7744796071899099,-0.26827318409221146,0.2533459997069266,0.9739298376867762,45,25,30
50/20/30,0.07118182485908009,0.09716943696583873,0.7325536411629622,-0.2969734971163489,0.23969083285298123,0.9169574403262978,50,20,30
30/35/35,0.05828458756720756,0.06297348066656644,0.9255417828310023,-0.1848871538203527,0.31524411708906674,1.1952620170313755,30,35,35
35/30/35,0.061791552372779,0.07144410801295363,0.8648936083235231,-0.21567722670295375,0.2865001248271928,1.1047836865871485,35,30,35
40/25/35,0.06519712670338218,0.08034070001964014,0.8115080735846719,-0.2456924535596392,0.26536072133593747,1.0271905869488374,40,25,35
45/20/35,0.06850021185430011,0.08953637136326265,0.765054589674897,-0.2749326333686608,0.24915271430309718,0.9618997171461595,45,20,35
30/30/40,0.058848366400100494,0.06493687682270104,0.9062395556961544,-0.1922772197567597,0.3060600027114321,1.1675880400506151,30,30,40
35/25/40,0.06233942657680602,0.07340759606455603,0.8492231038594908,-0.22283203205436042,0.27975971857402515,1.0831676623152169,35,25,40
40/20/40,0.06572891256846947,0.08229409794051123,0.7987074919514106,-0.2526157640193043,0.26019323387691123,1.0105495181578814,40,20,40
