,Ann. Return,Ann. Vol,Sharpe,Max DD,Calmar,Sortino
30/55/15,0.05584476507058356,0.05758389114449876,0.9697983925825522,-0.1550264703429537,0.36022728858524794,1.264305429196658
30/60/10,0.055188817849726624,0.05694001975416983,0.9692447963312313,-0.15320317170659958,0.36023286747234645,1.2666985176754098
30/50/20,0.05648235358518838,0.05852455207838264,0.9651052691448349,-0.16256532523747935,0.34744404135800544,1.2551491484021091
30/65/5,0.054514551188159066,0.056603066937813626,0.9631024277898389,-0.1609984262277988,0.3386030066593676,1.2621885705215519
30/45/25,0.05710154501536424,0.05974798640545775,0.9557066011876215,-0.17005497614400333,0.33578285275821856,1.2402861354555805
30/70/0,0.05382200523526737,0.05657851651312171,0.951279894777463,-0.16906063629896428,0.31835917818320136,1.2485157872320936
30/40/30,0.05770230187375347,0.06123724822308552,0.9422745722267868,-0.17749554452238103,0.3250915510528637,1.2199673156700606
30/35/35,0.05828458756720756,0.06297348066656644,0.9255417828310023,-0.1848871538203527,0.31524411708906674,1.1952620170313755
30/30/40,0.058848366400100494,0.06493687682270104,0.9062395556961544,-0.1922772197567597,0.3060600027114321,1.1675880400506151
35/55/10,0.05877401367409307,0.06491831576818972,0.9053533348579664,-0.17948597701665625,0.32745741283531504,1.1661605582592534
60/40 (baseline),0.07399437617787319,0.10868137947714859,0.6808376608196374,-0.32683282920604995,0.22639823654686733,0.847838630814567
Commodity-Trend,0.04228108413675824,0.07083689994005843,0.596879368980519,-0.15933386037892316,0.2653615749734965,0.6994356807514095
Dynamic MV (3-Asset),0.038119007289457496,0.06066425849287338,0.6283602278586423,-0.21139835507541904,0.18031837227805325,0.7845084297982219
