,asset_returns,asset_returns,asset_returns,asset_returns,signals,signals,signals,signals,positions,positions,positions,positions,weights,weights,weights,weights,results,results,results,results,results
,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,strategy_return,nav,pnl,gross_leverage,active_signals
Dates,,,,,,,,,,,,,,,,,,,,,
2002-02-04,-0.006740150868810302,0.0035900616781725514,-0.003430914616656122,0.01275109170305666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-05,0.002658486493612333,-0.004434735146647162,0.002148064110418124,0.026388409796481715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-06,-0.004786361530467076,0.001444517752787089,-0.006704179076121752,-0.001848428835489857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-07,-0.01023631706475725,-0.005297423208832086,0.002415573076992139,0.01397306397306397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-08,0.0020116568043575533,0.008352668213456926,0.010321416265322014,0.00863357130997855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-11,0.0018500957292391096,0.0028079816778860955,0.010202641977695048,-0.013168724279835398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-12,-0.00012873992108886068,-0.007345143014176769,-0.0026117757545832676,0.0016680567139282232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-13,0.01954249228252558,0.00045692476196235177,0.004997971262492129,-0.0033305578684429404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-14,-0.00663428712209202,0.016765509876485174,-0.0058288471433383116,0.0025062656641603454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-15,0.002485325119081949,0.00019288543397899538,-0.0013838188102247573,-0.0071666666666665435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-18,0.00013201416189723147,0.0016167550774564,0.0,-0.00033573946617437844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-19,0.0019092756289333934,0.0016101891609610064,-0.005792687643518701,-0.01561712846347596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-20,-0.0026089698770309644,-0.0028320630084647247,-0.003066605015938917,-0.005629477993858822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-21,0.004522256094072974,-0.00114871805705552,0.006825481947926981,0.004460456338994723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-22,-0.0006181308014475695,-0.007857278822359981,-0.002003200248046788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-25,0.01442679270382441,0.0008473763310203886,-0.014226970216788759,-0.000683176771989702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-26,-0.000535161871146439,0.00026491371001680086,0.011047652922478335,0.01777473936079299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-27,0.012162036502459062,0.004938866389756491,0.0052090813246807866,-0.003190596137699342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-28,0.005409274513109796,0.001753414788544072,0.002035622282422267,-0.0008423180592992408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-01,0.006774919443024663,0.005290697520696108,0.016167894990472664,0.005395380205698741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-04,0.011361165579188981,0.0023789359620420836,0.005908303820819194,-0.004360221365084516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-05,-0.006658665485884341,5.510126168783991e-05,0.007922657047455761,-0.00976924372578758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-06,-0.005950767672856738,0.004283231117378827,0.005534558538764944,-0.0015308725973804949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-07,-0.0024638684232340946,0.007275909815293913,0.016927308380863426,-0.013458262350936945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-08,0.007987553113523838,-0.006189778371438526,0.005341136085139198,0.0006907269901570423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-11,-0.003987953698019964,-0.0033692748751528168,0.01594975888564565,0.003278688524590123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-12,0.006527937197773559,-0.0008890285497313855,-0.0004796911898087286,0.010835913312693624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-13,-0.0013405157765726816,-0.0014690541964365034,-0.006096132265105636,-0.0017015484090522337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-14,-0.0016845906583595749,0.006148657072924335,0.0068810849263398755,-0.0071586841656724465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-15,0.0038518795303807973,0.006165866638839557,0.005813314657336699,-0.004120171673819728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-18,-5.1478114871494896e-05,-0.0010760118076090786,0.010110673228105327,0.008688157214273406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-19,0.0018929081286147564,-0.003554663825358295,-0.0010865577144081318,0.0021533308268106843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-03-20,0.0024664080363794305,0.013046400225059207,-0.009041898717782715,-0.0025579809004092624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
