bucket,n_days,bench_dd_range_mid_approx,trend_ann_mean_from_daily,trend_ann_vol,trend_sharpe_rf0,trend_hit_rate_pos,bench_mean_daily
<= -20%,146,-0.228593568840881,-0.11981061397738219,0.09409092349451549,-1.2733493256059485,0.3904109589041096,-0.0015451026231861655
"(-20%, -10%]",566,-0.1300472447001833,0.05064608747375339,0.08065616006982941,0.6279258450923736,0.43992932862190814,-2.1721737077702727e-05
"(-10%, -5%]",769,-0.0705252506751044,0.021651669643955544,0.0824046312223258,0.2627482135747909,0.47074122236671,-0.0004627874913031611
"(-5%, 0]",4858,-0.006330749563700833,0.051601141287252815,0.06671130169669906,0.7734992418804217,0.45409633594071636,0.0005225553566479985
> 0 (noise),0,,,,,,
