Strategy,w_T,w_B,ann_return,ann_vol,sharpe
Tangency (long-only),0.5592634429478952,0.4407365570521048,0.058646078579042485,0.06688811820005915,0.8767787188097426
Min-variance (long-only),0.73660216703043,0.26339783296957,0.05272666020142093,0.06342268450105565,0.8313533338460833
90/10 sleeve,0.1,0.9,0.0739759084197617,0.09920528103658278,0.7456851857763748
60/40 only,0.0,1.0,0.07731382483268605,0.1086899357166829,0.711324598021812
Trend only,1.0,0.0,0.0439346607034426,0.07084247946037546,0.6201739554869294
