Dates,method1_strategy_return,method1_nav,benchmark_strategy_return,benchmark_nav,spxt_level,luattruu_level,spxt_return,luattruu_return,method1_gross_leverage,method1_active_signals
2002-01-01,0.0,100000000.0,0.0,100000000.0,1618.98,1161.32,0.0,0.0,0.0,0.0
2002-01-02,0.0,100000000.0,0.000797034390101,100079703.43901011,1628.51,1153.38,0.005886422315285,-0.0068370474976748,0.0,0.0
2002-01-03,0.0,100000000.0,0.0063165948515539,100711866.37849803,1643.48,1155.69,0.0091924519959962,0.0020028091348904,0.0,0.0
2002-01-04,0.0,100000000.0,0.003284430994284,101042647.55392376,1653.69,1154.41,0.0062124272884367,-0.001107563446945,0.0,0.0
2002-01-07,0.0,100000000.0,-0.0013257297181448,100908692.31326148,1642.95,1161.83,-0.0064945666962973,0.0064275257490837,0.0,0.0
2002-01-08,0.0,100000000.0,-0.0020768116441231,100699123.96607204,1637.48,1161.6,-0.003329377035211,-0.0001979635574912,0.0,0.0
2002-01-09,0.0,100000000.0,-0.0025959009042383,100437719.01911253,1629.7,1162.34,-0.004751203068129,0.0006370523415977,0.0,0.0
2002-01-10,0.0,100000000.0,0.0032765168803175,100766804.90089922,1631.72,1169.7,0.0012394919310303,0.0063320543042484,0.0,0.0
2002-01-11,0.0,100000000.0,-0.003736684003837,100390271.19290829,1616.35,1175.3,-0.0094195082489643,0.0047875523638538,0.0,0.0
2002-01-14,0.0,100000000.0,-0.0038494295947027,100003825.91195804,1606.2,1175.06,-0.0062795805363936,-0.0002042031821662,0.0,0.0
2002-01-15,0.0,100000000.0,0.005041132767946,100507958.4756828,1617.18,1177.82,0.0068360104594695,0.0023488162306606,0.0,0.0
2002-01-16,0.0,100000000.0,-0.0100311820759576,99499744.84413044,1591.04,1176.84,-0.0161639396974981,-0.0008320456436468,0.0,0.0
2002-01-17,0.0,100000000.0,0.0042010201043453,99917745.27259786,1607.02,1171.47,0.0100437449718422,-0.0045630671969,0.0,0.0
2002-01-18,0.0,100000000.0,-0.0048109408119247,99437046.91403042,1591.08,1174.81,-0.0099189804731739,0.0028511186799491,0.0,0.0
2002-01-21,0.0,100000000.0,0.0,99437046.91403042,1591.08,1174.81,0.0,0.0,0.0,0.0
2002-01-22,0.0,100000000.0,-0.0045948583082384,98980147.7728708,1579.41,1174.24,-0.0073346406214646,-0.0004851848383993,0.0,0.0
2002-01-23,0.0,100000000.0,0.0024129553116287,99218982.44618514,1591.94,1167.35,0.0079333421974028,-0.0058676250170324,0.0,0.0
2002-01-24,0.0,100000000.0,0.0016929338703094,99386953.62214592,1597.55,1166.12,0.0035240021608853,-0.0010536685655544,0.0,0.0
2002-01-25,0.0,100000000.0,0.000158101532824,99402666.85185628,1599.14,1164.84,0.0009952740133329,-0.0010976571879394,0.0,0.0
2002-01-28,0.0,100000000.0,0.0001662254249406,99419190.10239395,1598.86,1165.63,-0.0001750941130859,0.0006782047319804,0.0,0.0
2002-01-29,0.0,100000000.0,-0.014796811645106,97948103.07253988,1553.23,1172.41,-0.0285390840974193,0.0058165970333639,0.0,0.0
2002-01-30,0.0,100000000.0,0.0070865933946004,98642221.45278735,1571.69,1172.28,0.011884910798787,-0.0001108827116794,0.0,0.0
2002-01-31,0.0,100000000.0,0.0079608991477973,99427502.2294877,1595.35,1169.14,0.015053859221602,-0.0026785409629097,0.0,0.0
2002-02-01,0.0,100000000.0,-0.0032128520930002,99108056.3708479,1584.06,1172.16,-0.0070768169994045,0.0025830952666061,0.0,0.0
2002-02-04,0.0,100000000.0,-0.0129665073511896,97822971.02935316,1544.89,1177.64,-0.0247275987020693,0.0046751296751297,0.0,0.0
2002-02-05,0.0,100000000.0,-0.002455004013953,97582815.24281932,1538.7,1177.49,-0.0040067577626886,-0.0001273733908495,0.0,0.0
2002-02-06,0.0,100000000.0,-0.0040641809140462,97186221.02757056,1529.68,1175.88,-0.0058620913758367,-0.0013673152213605,0.0,0.0
2002-02-07,0.0,100000000.0,-0.0023664135606524,96956238.23622234,1525.26,1174.02,-0.0028894932273416,-0.0015817940606185,0.0,0.0
2002-02-08,0.0,100000000.0,0.0100972060611229,97935225.35260482,1547.94,1177.47,0.0148695960033042,0.002938621147851,0.0,0.0
2002-02-11,0.0,100000000.0,0.0082890089946306,98747011.31644373,1570.21,1176.46,0.0143868625398917,-0.0008577713232609,0.0,0.0
2002-02-12,0.0,100000000.0,-0.0039084503816628,98361063.52237593,1563.95,1172.0,-0.0039867278899,-0.0037910341193071,0.0,0.0
2002-02-13,0.0,100000000.0,0.0057389610427871,98925553.83405794,1580.03,1170.74,0.0102816586207998,-0.001075085324232,0.0,0.0
2002-02-14,0.0,100000000.0,4.258908850771634e-05,98929766.98322584,1577.29,1173.91,-0.0017341442883995,0.0027076891538686,0.0,0.0
2002-02-15,0.0,100000000.0,-0.0048741887992284,98447564.62108594,1559.98,1178.93,-0.0109745195873934,0.0042763073830192,0.0,0.0
2002-02-18,0.0,100000000.0,0.0,98447564.62108594,1559.98,1178.93,0.0,0.0,0.0,0.0
2002-02-19,0.0,100000000.0,-0.0115080188004965,97314628.19656338,1530.58,1178.34,-0.0188463954666086,-0.0005004538013284,0.0,0.0
2002-02-20,0.0,100000000.0,0.0081905869618624,98111692.12146863,1551.37,1178.46,0.0135830861503483,0.0001018381791335,0.0,0.0
2002-02-21,0.0,100000000.0,-0.0088626499748275,97242162.53575802,1527.34,1179.73,-0.0154895350561117,0.0010776776470986,0.0,0.0
2002-02-22,0.0,100000000.0,0.0057449610841052,97800814.97526015,1539.91,1182.11,0.008229994631189,0.0020174107634796,0.0,0.0
2002-02-25,0.0,100000000.0,0.0104737381329865,98825155.10050371,1567.59,1181.19,0.0179750764655075,-0.0007782693657949,0.0,0.0
2002-02-26,0.0,100000000.0,-0.0014568983388579,98681176.89620042,1567.65,1176.82,3.827531433620024e-05,-0.003699658818649,0.0,0.0
2002-02-27,0.0,100000000.0,0.0024443529746356,98922388.5244872,1569.01,1182.48,0.0008675405862277,0.0048095715572475,0.0,0.0
