Dates,ret_100pct_60_40,ret_static_mv,ret_dynamic_mv,nav_100pct_60_40,nav_static_mv,nav_dynamic_mv,w_T_tan,w_T_mv
2002-01-02,0.000797034390101,0.0003512821929452389,0.0007173309510909,100079703.4390101,100035128.21929452,100071733.09510909,0.1,0.1
2002-01-03,0.0063165948515539,0.002783954267166917,0.005684935366398511,100711866.378498,100313621.44136722,100640634.42975825,0.1,0.1
2002-01-04,0.003284430994284,0.0014475688082959514,0.0029559878948556,101042647.55392374,100458832.31081297,100938126.9268632,0.1,0.1
2002-01-07,-0.0013257297181448,-0.0005842975515567964,-0.0011931567463303201,100908692.31326148,100400134.46106151,100817691.91975844,0.1,0.1
2002-01-08,-0.0020768116441231,-0.0009153268136765361,-0.00186913047971079,100699123.96607205,100308235.52589257,100629250.49889712,0.1,0.1
2002-01-09,-0.0025959009042383,-0.001144108426982434,-0.00233631081381447,100437719.01911251,100193472.02833164,100394149.2927705,0.1,0.1
2002-01-10,0.0032765168803175,0.0014440807689542383,0.00294886519228575,100766804.90089922,100338159.4944625,100690198.1051291,0.1,0.1
2002-01-11,-0.003736684003837,-0.0016468932426427932,-0.0033630156034533,100390271.19290827,100172913.25761186,100351575.39778674,0.1,0.1
2002-01-14,-0.0038494295947027,-0.0016965843461837471,-0.00346448663523243,100003825.91195804,100002961.46106738,100003908.70599657,0.1,0.1
2002-01-15,0.005041132767946,0.002221811499787067,0.0045370194911514,100507958.4756828,100225149.19085434,100457628.38898702,0.1,0.1
2002-01-16,-0.0100311820759576,-0.004421108651320337,-0.00902806386836184,99499744.84413043,99782042.9166868,99550690.5038271,0.1,0.1
2002-01-17,0.0042010201043453,0.0018515431368958217,0.0037809180939107705,99917745.27259785,99966793.67343463,99927083.51081432,0.1,0.1
2002-01-18,-0.0048109408119247,-0.00212035748962915,-0.00432984673073223,99437046.91403042,99754828.33375496,99494414.55496342,0.1,0.1
2002-01-21,0.0,0.0,0.0,99437046.91403042,99754828.33375496,99494414.55496342,0.1,0.1
2002-01-22,-0.0045948583082384,-0.0020251220309152516,-0.00413537247741456,98980147.7728708,99552812.6332061,99082968.09135635,0.1,0.1
2002-01-23,0.0024129553116287,0.0010634776163678218,0.00217165978046583,99218982.44618514,99658684.82108797,99298142.58808953,0.1,0.1
2002-01-24,0.0016929338703094,0.0007461378453170594,0.0015236404832784602,99386953.62214592,99733043.9374475,99449437.25805108,0.1,0.1
2002-01-25,0.000158101532824,6.968112524151009e-05,0.0001422913795416,99402666.85185629,99739993.44817282,99463588.05567317,0.1,0.1
2002-01-28,0.0001662254249406,7.326162148284312e-05,0.00014960288244654,99419190.10239397,99747300.56181952,99478468.09514478,0.1,0.1
2002-01-29,-0.014796811645106,-0.006521495819812509,-0.0133171304805954,97948103.07253987,99096798.95816804,98153700.355512,0.1,0.1
2002-01-30,0.0070865933946004,0.003123320773964368,0.00637793405514036,98642221.45278737,99406310.04898745,98779718.18364747,0.1,0.1
2002-01-31,0.0079608991477973,0.003508659281439217,0.007164809233017569,99427502.2294877,99755092.92137446,99487456.02052455,0.1,0.1
