horizon,regime,condition,n_windows,avg_eq_bond_corr,median_eq_bond_corr,avg_equity_return,avg_bond_return,avg_trend_return,avg_60_40_return,median_trend_return,median_60_40_return,trend_win_rate_vs_60_40,avg_active_return_t_minus_6040,median_active_return_t_minus_6040,avg_trend_vol,avg_60_40_vol,avg_trend_sharpe,avg_60_40_sharpe,avg_sharpe_spread_t_minus_6040,avg_trend_max_dd,avg_60_40_max_dd,worst_trend_max_dd,worst_60_40_max_dd,avg_drawdown_advantage_t_minus_6040,worst_drawdown_advantage_t_minus_6040
month,Positive stock-bond corr,eq_bond_corr > 0,72,0.2591364760077482,0.2491191368519203,0.010951193191462507,-0.002300978916454133,0.002311834115491296,0.005676841327893447,6.987313744366563e-05,0.008932781719576233,0.4027777777777778,-0.0033650072124021516,-0.004552307338678563,0.06277094810158203,0.08197343722821299,0.3778977704747191,1.4471940243032155,-1.0255943756781862,-0.018164692362490818,-0.021961694467665483,-0.08098251853337524,-0.08698978568387794,0.0037970021051746653,-0.05161256009997994
month,Non-positive stock-bond corr,eq_bond_corr <= 0,219,-0.42304305971448947,-0.4378093517265532,0.007692250146558263,0.004260758906138195,0.004231641145592396,0.006541323043932095,0.0,0.0090202651644673,0.4292237442922374,-0.002309681898339698,-0.004430058475077603,0.05854049122705626,0.09408556597389077,0.7511552261488129,1.6564526082004805,-0.9658461383448783,-0.01600861015534028,-0.02386988512595303,-0.06308944641347558,-0.16899841671767146,0.00786127497061275,-0.04149701062096067
quarter,Positive stock-bond corr,eq_bond_corr > 0,20,0.17929524882077824,0.18948130183871525,0.024580489659497766,-0.004733321460572837,-0.0008897480706040184,0.012997944524339916,-0.009288039658721325,0.021197896811526062,0.3,-0.013887692594943934,-0.019746072418868665,0.07206173420115701,0.08408112767317674,-0.1738104245128284,0.9504947034285346,-1.124305127941363,-0.03849616964191256,-0.04173629336418079,-0.12716643680662365,-0.13832665001712996,0.0032401237222682232,-0.08623174329776628
quarter,Non-positive stock-bond corr,eq_bond_corr <= 0,77,-0.37218165354592553,-0.37419125584067237,0.026628941747150286,0.011303641629499669,0.014405710677258304,0.020751813940351815,0.003061807769790814,0.023481945242449287,0.4155844155844156,-0.006346103263093509,-0.01724035246713973,0.06113077021009099,0.09678123583592915,0.44180583412353924,1.3811324432735832,-0.9723021735667292,-0.03095889634404338,-0.043758766792289065,-0.09103166626464254,-0.20660356952700432,0.012799870448245673,-0.04021845353221065
year,Positive stock-bond corr,eq_bond_corr > 0,4,0.09293083406963895,0.08523622427941327,0.1224772875841954,-0.011881903781194886,-0.000842712639817389,0.06843664720218504,-0.0053622972710743455,0.12757893724797087,0.25,-0.06927935984200242,-0.13992444010159444,0.06945280938851467,0.09311180982579083,0.014343965197669301,1.065345763609698,-1.0510017984120288,-0.09347683859248829,-0.0890385099435933,-0.15360005099538776,-0.19667829639582213,-0.004438328648894985,-0.11266535748653017
year,Non-positive stock-bond corr,eq_bond_corr <= 0,20,-0.34433396436630725,-0.3702180204671478,0.1119275026416402,0.04171571717280145,0.05097055471556265,0.0842479949648426,0.041954386308875824,0.10422387195357663,0.4,-0.033277440249279935,-0.02713550439742124,0.06524011042241065,0.10023861316475886,0.5482378726320667,1.1114514480875743,-0.5632135754555077,-0.05686074616028325,-0.08792996183392447,-0.14296161721772094,-0.2838782069380307,0.03106921567364122,-0.021553520826423367
