horizon,comparator,overlapping_windows,n_windows,risk_adjusted_n_windows,outright_win_rate,risk_adjusted_win_rate,median_active_return,average_active_return,average_win,average_loss,payoff_ratio_avg_win_abs_loss,median_sharpe_spread,average_sharpe_spread
month,equity,False,291,271,0.38144329896907214,0.4059040590405904,-0.01034075111144217,-0.004741949225709457,0.03732209650470755,-0.030681444092799944,1.2164387175460878,-0.9953774389810373,-0.8446266090194722
month,bond,False,291,271,0.5051546391752577,0.4944649446494465,0.00014978138331656066,0.0011194011984211035,0.01929239293122032,-0.017432194528811434,1.1067105119401006,-0.03316605921374505,-0.13583973542491823
quarter,equity,False,97,94,0.3402061855670103,0.3723404255319149,-0.03226418842157375,-0.014954572649316688,0.07281566803890369,-0.06021110300418031,1.209339547123863,-0.8460549567282003,-0.8756739081758014
quarter,bond,False,97,94,0.5154639175257731,0.5212765957446809,0.0014735991214904764,0.003254956540997848,0.03344544933761883,-0.028862588987322347,1.1587820258366104,0.06349190015728567,-0.34853090227162814
year,equity,False,24,24,0.20833333333333334,0.4583333333333333,-0.06039374791826013,-0.07135078997573341,0.1817638736530447,-0.13795991198330662,1.3175122471449419,-0.19694447753291705,-0.486553698481522
year,bond,False,24,24,0.4583333333333333,0.2916666666666667,-0.005596880271533211,0.009552229809197251,0.07945475902157637,-0.049596064139738924,1.6020375890657241,-0.325479660454458,-0.2603798203610738
