peak_date,trough_date,recovery_date,depth_60_40,large_ge_10pct,len_peak_to_trough_days,len_peak_to_recovery_days,bench_ret_peak_to_trough,bench_ret_peak_to_recovery,trend_ret_peak_to_trough,trend_ret_peak_to_recovery,trend_max_dd_peak_to_trough,trend_hit_rate_peak_to_trough
2007-10-09,2009-03-09,2010-10-18,-0.32683282920604995,True,370,790,-0.3236008088323904,0.007288853033089682,0.048833767331878164,0.3845158751212834,-0.15933386037892328,0.43783783783783786
2021-12-27,2022-10-14,2024-01-25,-0.19890850391858583,True,210,544,-0.19200574662955117,0.008814570193693916,0.03045785536421186,0.003881302343907267,-0.11122568839693725,0.4142857142857143
2020-02-19,2020-03-23,2020-06-05,-0.19496106505005784,True,24,78,-0.19286630403971106,0.003121105213584885,-0.006819505995447783,0.02770738376671167,-0.03235790807714878,0.5833333333333334
2002-03-06,2002-07-23,2003-06-16,-0.18095318563695428,True,100,334,-0.17437130446989868,0.013107818162001683,0.00556666247592319,0.16991238886692983,-0.026879106620562476,0.42
2018-09-21,2018-12-24,2019-03-15,-0.11116166681183781,True,67,126,-0.11113322225137068,0.0003891566752476372,-0.02140983187019696,-0.020398118261009457,-0.02925097972691859,0.40298507462686567
2025-02-19,2025-04-08,2025-06-10,-0.10918132928943491,True,35,80,-0.10749038762876606,0.0033694952355654006,-0.04113811977500037,0.00774473734527259,-0.05552607282683275,0.5142857142857142
2011-07-22,2011-08-08,2012-01-03,-0.09289715056881931,False,12,118,-0.091620582701884,0.006383065066800198,-0.019595976393199876,-0.06406557116311262,-0.02870326061355477,0.4166666666666667
2015-05-21,2015-08-25,2015-10-28,-0.06905596011604764,False,69,115,-0.06656131733223125,0.003668345251517824,-0.019414691791589056,-0.021169871514658878,-0.032004811573806524,0.08695652173913043
2015-12-01,2016-02-11,2016-03-29,-0.06531646176445416,False,53,86,-0.05792239541590638,0.00999213190743542,0.021969742252546,0.058997876009406536,-0.02498401742642098,0.49056603773584906
2018-01-26,2018-02-08,2018-07-25,-0.06483435223418543,False,10,129,-0.05905282498220765,0.007187706464650168,-0.03511178926535374,-0.040184687154131926,-0.03485508988836028,0.1
2020-09-02,2020-09-23,2020-11-16,-0.05835769221443343,False,16,54,-0.048848345889958456,0.015985494762992936,-0.032222490692399464,-0.01403221528665044,-0.025694567784598443,0.375
2026-02-25,2026-03-30,2026-04-14,-0.05724250441546519,False,24,35,-0.05279162912869784,0.005022590341733357,-0.010468619687109881,0.0067959780486746,-0.053276132518885744,0.5833333333333334
2004-03-05,2004-05-10,2004-11-03,-0.05169492717693602,False,47,174,-0.04686588171924122,0.009264975996182478,-0.025533744178787288,0.012949972321131265,-0.036567839622905995,0.5319148936170213
