horizon,bucket,quantile_cutoff_q,n_windows,bench_window_threshold,bench_window_mean,bench_window_median,trend_window_mean,trend_window_median,excess_window_mean_t_minus_b,trend_window_hit_rate_pos,trend_ann_vol_monthly,trend_sharpe_rf0_monthly
21d_trailing,worst 10%,0.1,632,-0.025746316991159434,-0.047609648940568516,-0.03880788792656564,-0.004367713632010297,-0.0030357326906401694,0.04324193530855822,0.34968354430379744,,
21d_trailing,rest,0.1,5687,-0.025746316991159434,0.01221560631602098,0.012188220113012571,0.004523990290174234,0.0010689287683434134,-0.007691616025846744,0.5310356954457535,,
63d_trailing,worst 10%,0.1,628,-0.036195933720832386,-0.06938588974088951,-0.05635704157406857,0.0021447047988815138,-0.0019477049994775508,0.07153059453977101,0.4729299363057325,,
63d_trailing,rest,0.1,5649,-0.036195933720832386,0.028714390729052724,0.028758245996616694,0.0120333970234197,0.0044516070802131935,-0.016680993705633026,0.5618693574083908,,
21d_trailing,worst 20%,0.2,1264,-0.01116911181094673,-0.032689208935010095,-0.025748409535393257,-0.0027785128371102343,-0.0022028862297286955,0.02991069609789987,0.3662974683544304,,
21d_trailing,rest,0.2,5055,-0.01116911181094673,0.015964394675098866,0.014384754240901465,0.0052382943602171505,0.0017533196346242175,-0.010726100314881717,0.5495548961424332,,
63d_trailing,worst 20%,0.2,1256,-0.010580640925276042,-0.04588443167112014,-0.036196945576851824,0.0019219350048275932,-0.003059167059251855,0.04780636667594774,0.4450636942675159,,
63d_trailing,rest,0.2,5021,-0.010580640925276042,0.03510537754432726,0.03234757843792102,0.013325947825718389,0.005720800467546638,-0.021779429718608866,0.579964150567616,,
calendar_month,worst 10%,0.1,30,-0.02591306972910574,-0.04425118689417954,-0.037917517994395966,-0.0040107443273536695,-0.0003426072213064679,0.04024044256682586,0.36666666666666664,0.07104401055477738,-0.6774523503446497
calendar_month,rest,0.1,262,-0.02591306972910574,0.012306245290302598,0.011765117124554969,0.004695464244015405,0.0006306221611686036,-0.0076107810462871925,0.5114503816793893,0.07422700774524923,0.7590979703986674
calendar_month,worst 20%,0.2,59,-0.011821864292955397,-0.031275437473668455,-0.025977757772199683,-0.0030042559595297984,-0.0003802281368820992,0.02827118151413865,0.3728813559322034,0.07741107613639855,-0.46570947354917896
calendar_month,rest,0.2,233,-0.011821864292955397,0.01605987755442203,0.013954757199510004,0.005524207741303366,0.0016638442615368731,-0.010535669813118665,0.5278969957081545,0.07252281929121077,0.914063925582583
