horizon,n_windows,positive_corr_windows,positive_corr_share,avg_eq_bond_corr_all,avg_eq_bond_corr_positive,avg_eq_bond_corr_non_positive,avg_equity_return_positive_corr,avg_bond_return_positive_corr
month,291,72,0.24742268041237114,-0.25425637046362654,0.2591364760077482,-0.42304305971448947,0.010951193191462507,-0.002300978916454133
quarter,97,20,0.20618556701030927,-0.25847507573835776,0.17929524882077824,-0.37218165354592553,0.024580489659497766,-0.004733321460572837
year,24,4,0.16666666666666666,-0.2714564979603162,0.09293083406963895,-0.34433396436630725,0.1224772875841954,-0.011881903781194886
