date,w_T_tan,w_T_mv,n_obs
2003-12-31,0.8724951870086864,0.7679556084639488,521
2004-01-30,0.84804449479812,0.7473688053840019,543
2004-02-27,0.8471196731288428,0.7457872224648672,563
2004-03-31,0.8500298088169468,0.744603995597832,586
2004-04-30,0.8615101191796845,0.7402363113769688,608
2004-05-31,0.8558815307285833,0.7405024357084005,629
2004-06-30,0.8379943965738502,0.7404366771499972,651
2004-07-30,0.8511121118273072,0.7374931789205386,673
2004-08-31,0.8471818623806592,0.7356420223247839,695
2004-09-30,0.844326075149768,0.7353571215809215,717
2004-10-29,0.8373531255868166,0.7285252525202972,738
2004-11-30,0.8416132619894738,0.7229792952137363,756
2004-12-31,0.7714774196655568,0.7081584861216992,756
2005-01-31,0.8096138428265461,0.7011772729495096,756
2005-02-28,0.7914807848976076,0.7014532597643073,756
2005-03-31,0.7695248074157914,0.691384271260306,756
2005-04-29,0.725587264445584,0.6913560336533853,756
2005-05-31,0.7017285725694191,0.686385106978137,756
2005-06-30,0.6227149474721078,0.6469040992634447,756
2005-07-29,0.5882033485935786,0.6243761508990401,756
2005-08-31,0.533308654773331,0.5933254482516246,756
2005-09-30,0.5834018716790259,0.5519424164189414,756
2005-10-31,0.5763189601989422,0.540433475855137,756
2005-11-30,0.5312817337181114,0.5375587919354119,756
2005-12-30,0.4441423020991042,0.523536231444358,756
2006-01-31,0.4408447763632316,0.51822724050331,756
2006-02-28,0.4582691273199197,0.4930378302619556,756
2006-03-31,0.4353696222303614,0.4813658714591662,756
2006-04-28,0.4949046496818433,0.46473172171270943,756
2006-05-31,0.4591368868816911,0.416318983541285,756
2006-06-30,0.3562716218177225,0.39372655100998905,756
2006-07-31,0.38526305516954457,0.4012178186315919,756
2006-08-31,0.32213367636548645,0.38690752296918357,756
2006-09-29,0.23578540714130516,0.3849904378935962,756
2006-10-31,0.13765425529080058,0.3913093758239378,756
2006-11-30,0.13918115594831146,0.3920983937862,756
2006-12-29,0.15007240811122036,0.3980275069417373,756
2007-01-31,0.10844622541427282,0.3966474694776202,756
2007-02-28,0.13135618662288703,0.3861224656462072,756
2007-03-30,0.18596270766008002,0.38533467311062725,756
2007-04-30,0.19653740372032716,0.37520211177515544,756
2007-05-31,0.18574686543260924,0.36565419835200075,756
2007-06-29,0.20924071761426952,0.3746137819929521,756
2007-07-31,0.2416892648610614,0.3809890700804173,756
2007-08-31,0.10756894465707414,0.38119460486906154,756
2007-09-28,0.14632727008922242,0.39355470094181016,756
2007-10-31,0.2057736911169784,0.38616549565206415,756
2007-11-30,0.19080104521162447,0.39065906023499136,756
2007-12-31,0.21694416338051653,0.39296631819507105,756
2008-01-31,0.3223783821770087,0.4025843840232452,756
2008-02-29,0.5152896937795354,0.40909550957894864,756
2008-03-31,0.41582285344644515,0.3941969340498969,756
2008-04-30,0.45932399984154637,0.39262687209994546,756
2008-05-30,0.4904979213259603,0.39717959079863235,756
2008-06-30,0.641194824956137,0.4077987346708273,756
2008-07-31,0.609102417450664,0.42452708085388746,756
2008-08-29,0.40427807080486344,0.4406426855236008,756
2008-09-30,0.6343252118689795,0.5198931910608331,756
2008-10-31,1.0,0.657574286495478,756
2008-11-28,1.0,0.7109406261280565,756
2008-12-31,1.0,0.7338123592224887,756
2009-01-30,1.0,0.7435356126102951,756
2009-02-27,0.0,0.7502448165525964,756
2009-03-31,0.3205049657847093,0.7739648379867311,756
2009-04-30,1.0,0.8040397845827518,756
2009-05-29,1.0,0.8105669328159771,756
2009-06-30,1.0,0.7998313280085919,756
2009-07-31,1.0,0.8031903656576003,756
2009-08-31,1.0,0.8010193350126403,756
2009-09-30,1.0,0.7939604190311708,756
2009-10-30,1.0,0.7898161024723438,756
2009-11-30,1.0,0.7881526560388877,756
2009-12-31,1.0,0.7801832843457931,756
2010-01-29,1.0,0.7817543694655905,756
2010-02-26,1.0,0.784192599825196,756
2010-03-31,1.0,0.7857927394082255,756
2010-04-30,1.0,0.7863335047013512,756
2010-05-31,1.0,0.7909097882207885,756
2010-06-30,1.0,0.7919440152707282,756
2010-07-30,1.0,0.8020533449091278,756
2010-08-31,1.0,0.8046018656911735,756
2010-09-30,1.0,0.8115722816730762,756
2010-10-29,1.0,0.8138988602261973,756
2010-11-30,1.0,0.8086970504147797,756
2010-12-31,0.9843315114464729,0.8109354067421689,756
2011-01-31,0.8932840851846484,0.8156914330466721,756
2011-02-28,0.9679555213454335,0.8362059358629937,756
2011-03-31,0.966774550845396,0.8369100404521456,756
2011-04-29,0.9721521252097912,0.8351026106172097,756
2011-05-31,0.8568189400661751,0.8307757693454847,756
2011-06-30,0.9495533116446423,0.8432028484113732,756
