Regime,Ann. Active Return,Tracking Error (Ann.),Information Ratio
Bull Steepener,0.051489515868418996,0.1631740093833001,0.31554973774940315
Bull Flattener,-0.11868296496178175,0.12301128752882265,-0.9648136146365696
Bear Steepener,-0.08786342799275136,0.09751877647189154,-0.9009898521242912
Bear Flattener,-0.024931003047446394,0.11603113461049694,-0.2148647699700333
Steepener Twist,-0.0025331420235812467,0.09856906871381241,-0.02569915752106806
Flattener Twist,0.07878670872182764,0.08823276945201515,0.892941581808506
Unclassified,-0.04056440948338288,0.1142940067458657,-0.35491283085016345
