Bucket,Days,Commodity-Trend Ann. Ret.,60/40 Ann. Ret.,Commodity-Trend Sharpe,60/40 Sharpe,Commodity-Trend Max DD,60/40 Max DD,Active mean (bps/day),Active win rate
Bull,1467,0.0989470144283926,0.13138575007474396,1.2393543155047149,0.9456902151120783,-0.11970931539571372,-0.230356925618168,-1.4103068857779029,0.4887525562372188
Bear,1332,0.02284150488796821,0.060210810412921534,0.3284623146808712,0.6248857495638158,-0.12717352627414102,-0.20063670708391357,-1.5122786615656594,0.4752252252252252
Twist,319,0.07625958771171626,0.01585440137481431,1.2215777663247323,0.22257935431899672,-0.04404205869184974,-0.0638596539031373,2.2692625762313514,0.5047021943573667
