Destination regime,Mean Δ w_trend (+63d),Median Δ w_trend,Events
Bull Steepener,0.017671251607165518,0.005232859242823025,14
Bull Flattener,-0.014788597437848678,0.0002534923641546727,10
Bear Steepener,-0.012985764677728944,0.0,15
Bear Flattener,0.018568615233353337,0.02186094896254133,10
Steepener Twist,0.010199340392471473,0.0,7
Flattener Twist,0.01996370273230775,0.0,8
