Regime,Days,60/40 Ann. Ret.,Dynamic MV (3-asset) Ann. Ret.,60/40 Vol,Dynamic MV (3-asset) Vol,60/40 Sharpe,Dynamic MV (3-asset) Sharpe,60/40 Max DD,Dynamic MV (3-asset) Max DD
Bull Steepener,952,0.12128313456407791,0.04989755171435806,0.15024445204405587,0.08512467479379282,0.8072386894426844,0.5861702477598953,-0.18299375782120086,-0.10972145676395717
Bull Flattener,515,0.15030113538041578,0.04271015133306011,0.11526165100799175,0.053355296363689124,1.3039995008400023,0.8004856920282509,-0.08141003271266789,-0.054315445971851006
Bear Steepener,423,0.13354502006671964,0.08538096509552973,0.07473594958307435,0.05016752833132286,1.7868913262187807,1.7019169158912064,-0.07566617718375768,-0.03350728801419656
Bear Flattener,909,0.027721682150820826,0.009415534821457738,0.10489079741212295,0.05321671759072219,0.2642908895229434,0.176928139271394,-0.20063670708391357,-0.13529904703781004
Steepener Twist,85,-0.006275667248093253,-0.02630767891535979,0.07319936886496049,0.0641992980798196,-0.08573389833006233,-0.40978141042369653,-0.04043132732942134,-0.03715397231765061
Flattener Twist,234,0.02401455455512691,0.09838141340613271,0.07065453390989554,0.035004863406208196,0.33988695737137326,2.810506993399224,-0.05076480122905769,-0.013548132949342317
Unclassified,3406,0.05666903474706797,0.033825469299667565,0.1011313775590983,0.05779773387463072,0.5603506657857221,0.5852386768837429,-0.18268921345762723,-0.1271901828812958
