Strategy,Start,End,Total Return,Ann. Return,Ann. Vol,Sharpe,Max DD
60/40,2001-05-04,2026-05-06,5.004971403763222,0.07169508303957395,0.10873229713812438,0.6593724673037905,-0.3268328292060475
Commodity-Trend,2001-05-04,2026-05-06,1.9790528117046726,0.04306658671630692,0.07058115029438193,0.6101712218727456,-0.1593338603789245
90/10 Blend,2001-05-04,2026-05-06,4.693154566288305,0.06948999060838279,0.09921186745364616,0.7004201452094424,-0.2972859891504682
Static MV (3-asset),2001-05-04,2026-05-06,2.0926082237056107,0.044574906392212954,0.03912546725859582,1.1392811259632918,-0.12221438183243682
Dynamic MV (3-asset),2001-05-04,2026-05-06,1.6340285253386644,0.03811900728945883,0.060664258492873865,0.6283602278586593,-0.21139835507541882
