Regime,Days,Ann. Return,Ann. Vol,Sharpe,Max DD (in-regime),Hit rate,Avg gross lev.,Avg active sig.
Bull Steepener,952,0.14531439925637768,0.08400379931845886,1.7298550831670125,-0.06584251400887764,0.5378151260504201,0.6420693277310925,2.56827731092437
Bull Flattener,515,0.018120428663926935,0.07132394068464455,0.25405815340525784,-0.09464047439673107,0.4893203883495146,0.5728155339805825,2.29126213592233
Bear Steepener,423,0.04496708584440845,0.08066533145810527,0.5574524399960195,-0.057593035365739564,0.49645390070921985,0.6932624113475178,2.773049645390071
Bear Flattener,909,0.012705775386690377,0.06374397454878694,0.1993251201643524,-0.12717352627413947,0.40704070407040704,0.4722222222222222,1.8888888888888888
Steepener Twist,85,-0.00991157779611973,0.08558516060276895,-0.11580953668034666,-0.044478277432412616,0.35294117647058826,0.4676470588235294,1.8705882352941177
Flattener Twist,234,0.10938488451218054,0.051623110536819006,2.1189130870787856,-0.023342561671596762,0.4230769230769231,0.4797008547008547,1.9188034188034189
Unclassified,3406,0.024711139415944272,0.06736382469167447,0.36683100356975923,-0.1472764329328642,0.4448032883147387,0.5256899588960657,2.102759835584263
