Regime,Onset days,Onset ann. ret.,Onset Sharpe,Steady days,Steady ann. ret.,Steady Sharpe
Bull Steepener,263,0.05561104446771026,0.8660178098150673,689,0.18153144873563276,2.0084298406470182
Bull Flattener,195,-0.011062296736515598,-0.15498945457892663,320,0.03632432014819642,0.5088737594887837
Bear Steepener,241,-0.004801242936806505,-0.05649264102603956,182,0.11471947011460903,1.5379051560099313
Bear Flattener,214,0.10096223346872923,2.0640826672737296,695,-0.01301769601689673,-0.19254401075038008
Steepener Twist,85,-0.00991157779611973,-0.11580953668034666,0,,
Flattener Twist,150,0.09950076719597245,2.4287597070940987,84,0.1272566174106502,1.9041561370841653
