Destination regime,Events,Median 63d return,P25 63d return,P75 63d return,Win rate (>0 at +63d)
Bull Steepener,14,0.009405955543438482,-0.010333955746127582,0.03947082575241062,0.7142857142857143
Bull Flattener,10,-0.007137249540939861,-0.021535822099536056,0.012960664092507485,0.3
Bear Steepener,15,0.0001276719689307093,-0.014274117126824581,0.03686072996928669,0.5333333333333333
Bear Flattener,10,-0.005258761173442816,-0.020966463753611247,0.0091647502494287,0.4
Steepener Twist,7,0.025590130509243192,-0.004738097895571891,0.03729183359176269,0.5714285714285714
Flattener Twist,8,0.0026691583556244236,-0.004712738506194164,0.03910884173551826,0.5
