date,w_stock,w_bond,w_trend,ret_dynamic_mv_3a,nav_dynamic_mv_3a
2001-05-04,0.6,0.4,0.0,0.009084725850029063,100908472.5850029
2001-05-07,0.6,0.4,0.0,-0.0015661066322973038,100750439.15683255
2001-05-08,0.6,0.4,0.0,-0.0014647830484066926,100602861.6214361
2001-05-09,0.6,0.4,0.0,-0.0015934380399816204,100442557.19479752
2001-05-10,0.6,0.4,0.0,-0.002273142007723594,100214236.99867484
2001-05-11,0.6,0.4,0.0,-0.008412371222460212,99371197.63526638
2001-05-14,0.6,0.4,0.0,0.0028731913776220085,99656710.10349602
2001-05-15,0.6,0.4,0.0,-0.0006016987844473577,99596746.78216471
2001-05-16,0.6,0.4,0.0,0.01790546615682098,101380072.96100225
2001-05-17,0.6,0.4,0.0,0.002215340841740865,101604664.37717141
2001-05-18,0.6,0.4,0.0,0.0021101533355563527,101819065.798615
2001-05-21,0.6,0.4,0.0,0.00995493311309641,102832667.78827815
2001-05-22,0.6,0.4,0.0,-0.001673224630298442,102660605.63573551
2001-05-23,0.6,0.4,0.0,-0.009295900789528067,101706282.83075285
2001-05-24,0.6,0.4,0.0,0.00020802921139715367,101727440.70856425
2001-05-25,0.6,0.4,0.0,-0.006961915518486017,101019222.86043943
2001-05-28,0.6,0.4,0.0,0.0,101019222.86043943
2001-05-29,0.6,0.4,0.0,-0.004566491381255754,100557919.44990608
2001-05-30,0.6,0.4,0.0,-0.009096261463949573,99643218.32231896
2001-05-31,0.6,0.4,0.0,0.005982399343761813,100239323.84622072
2001-06-01,0.6,0.4,0.0,0.0033304476300755944,100573165.66476473
2001-06-04,0.6,0.4,0.0,0.00377287121219525,100952615.26622066
2001-06-05,0.6,0.4,0.0,0.008977928764014731,101858960.6546218
2001-06-06,0.6,0.4,0.0,-0.006229096956950797,101224471.3127699
2001-06-07,0.6,0.4,0.0,0.002373915794569825,101464769.68401627
2001-06-08,0.6,0.4,0.0,-0.006297907540376157,100825753.94594078
2001-06-11,0.6,0.4,0.0,-0.0036941185199245163,100453291.66100372
2001-06-12,0.6,0.4,0.0,0.0017596845363920365,100630057.76496927
2001-06-13,0.6,0.4,0.0,-0.006627804757444755,99963101.38937266
2001-06-14,0.6,0.4,0.0,-0.009626163811429667,99000840.20030001
2001-06-15,0.6,0.4,0.0,-0.003106999668657462,98693244.62260087
2001-06-18,0.6,0.4,0.0,-0.00276485575042591,98420372.03767788
2001-06-19,0.6,0.4,0.0,0.00234767455062741,98651431.04037403
2001-06-20,0.6,0.4,0.0,0.005872807302691463,99230791.8850089
2001-06-21,0.6,0.4,0.0,0.007348381542894655,99959977.60458353
2001-06-22,0.6,0.4,0.0,-0.003974075771726015,99562729.07944287
2001-06-25,0.6,0.4,0.0,-0.0035082231796145225,99213440.80546069
2001-06-26,0.6,0.4,0.0,-0.0025453461004165904,98960908.2607976
2001-06-27,0.6,0.4,0.0,-0.0029979765021029615,98664225.78320497
2001-06-28,0.6,0.4,0.0,0.005652076100549941,99221883.49573347
2001-06-29,0.6,0.4,0.0,-0.002232449930833269,99000375.60878628
2001-07-02,0.6,0.4,0.0,0.007502069269040401,99743083.28426442
2001-07-03,0.6,0.4,0.0,-0.0019286200780507022,99550716.7711957
2001-07-04,0.6,0.4,0.0,0.0,99550716.7711957
2001-07-05,0.6,0.4,0.0,-0.007901598753591109,98764106.95163731
2001-07-06,0.6,0.4,0.0,-0.012952391142239627,97484875.60758571
2001-07-09,0.6,0.4,0.0,0.005054444129942182,97977607.46485862
2001-07-10,0.6,0.4,0.0,-0.007468670251529685,97245845.02266978
2001-07-11,0.6,0.4,0.0,-0.0008814077217251803,97160131.7839611
2001-07-12,0.6,0.4,0.0,0.015316427664063026,98648277.91426097
2001-07-13,0.6,0.4,0.0,0.0038251671304470936,99025624.0644138
2001-07-16,0.6,0.4,0.0,-0.005266561683252368,98504099.50705601
2001-07-17,0.6,0.4,0.0,0.006121855669768727,99107127.38711873
2001-07-18,0.6,0.4,0.0,-0.0010586047900906113,99002212.10733461
2001-07-19,0.6,0.4,0.0,0.0032837913883746236,99327314.7188827
2001-07-20,0.6,0.4,0.0,-0.0022139686675229694,99107407.15626588
2001-07-23,0.6,0.4,0.0,-0.009271147347730735,98188567.78126861
2001-07-24,0.6,0.4,0.0,-0.009290204962724879,97276375.86158422
2001-07-25,0.6,0.4,0.0,0.008287337654194094,98082538.03412546
2001-07-26,0.6,0.4,0.0,0.006528244114093073,98722844.78574204
2001-07-27,0.6,0.4,0.0,0.0027638949660648837,98995704.35948096
2001-07-30,0.6,0.4,0.0,0.00011351441912494937,99006941.79935719
2001-07-31,0.6,0.4,0.0,0.004251120730317259,99427832.26208575
2001-08-01,0.6,0.4,0.0,0.0018265107519846336,99609438.26675896
2001-08-02,0.6,0.4,0.0,0.001104267360453859,99719433.71823008
2001-08-03,0.6,0.4,0.0,-0.0033544915415012924,99384925.72129898
2001-08-06,0.6,0.4,0.0,-0.006649761202068949,98724039.69816698
2001-08-07,0.6,0.4,0.0,0.0019114370808738454,98912744.48841973
2001-08-08,0.6,0.4,0.0,-0.008005250430352561,98120923.19803645
2001-08-09,0.6,0.4,0.0,-0.00043432541806276426,98078306.78704776
2001-08-10,0.6,0.4,0.0,0.004176760105759092,98487956.3460763
2001-08-13,0.6,0.4,0.0,0.0012476149025090865,98610831.38813134
2001-08-14,0.6,0.4,0.0,-0.0024626049444053774,98367991.86718298
2001-08-15,0.6,0.4,0.0,-0.004735165159154731,97902203.17931749
2001-08-16,0.6,0.4,0.0,0.00288212788131581,98184369.84874284
2001-08-17,0.6,0.4,0.0,-0.008217382559906094,97377551.32029243
2001-08-20,0.6,0.4,0.0,0.003909146926712247,97758214.47576691
2001-08-21,0.6,0.4,0.0,-0.006826440320309168,97090873.8588281
2001-08-22,0.6,0.4,0.0,0.004153474172704774,97494138.29580608
2001-08-23,0.6,0.4,0.0,-0.0008609419220844128,97410201.50498973
2001-08-24,0.6,0.4,0.0,0.011008019892380582,98482494.94087745
2001-08-27,0.6,0.4,0.0,-0.003142239678642067,98173039.33762257
2001-08-28,0.6,0.4,0.0,-0.007253957170645342,97460896.31495537
2001-08-29,0.6,0.4,0.0,-0.0052614762645564195,96948108.12227184
2001-08-30,0.6,0.4,0.0,-0.010125757779836264,95966435.06221235
2001-08-31,0.6,0.4,0.0,0.0022741072795339433,96184673.03077824
2001-09-03,0.6,0.4,0.0,0.0,96184673.03077824
2001-09-04,0.6,0.4,0.0,-0.0037284912453412924,95826049.31944698
2001-09-05,0.6,0.4,0.0,-0.00015235917728126933,95811449.34141056
2001-09-06,0.6,0.4,0.0,-0.011103250170855627,94747630.85014062
2001-09-07,0.6,0.4,0.0,-0.009716712888010792,93826995.32435057
2001-09-10,0.6,0.4,0.0,0.003136291297737248,94121264.11327916
2001-09-11,0.6,0.4,0.0,0.0,94121264.11327916
2001-09-12,0.6,0.4,0.0,0.0,94121264.11327916
2001-09-13,0.6,0.4,0.0,0.0,94121264.11327916
2001-09-14,0.6,0.4,0.0,0.005905583571298401,94677105.1043364
2001-09-17,0.6,0.4,0.0,-0.03080221954905744,91760840.12664343
2001-09-18,0.6,0.4,0.0,-0.005759256324277628,91232365.92782302
2001-09-19,0.6,0.4,0.0,-0.008811681458537368,90428455.38055833
2001-09-20,0.6,0.4,0.0,-0.020079198820486456,88612724.44594261
2001-09-21,0.6,0.4,0.0,-0.010561376163286717,87676852.13021533
2001-09-24,0.6,0.4,0.0,0.02336796997346058,89725682.17816174
2001-09-25,0.6,0.4,0.0,0.005821221755524996,90247995.27128658
2001-09-26,0.6,0.4,0.0,-0.0011327877064234216,90145763.4517139
2001-09-27,0.6,0.4,0.0,0.008471556995058504,90909438.42465815
2001-09-28,0.6,0.4,0.0,0.013173206701090656,92107007.24810624
2001-10-01,0.6,0.4,0.0,-0.0004484474227084423,92065702.09809244
2001-10-02,0.6,0.4,0.0,0.008363047894623365,92835651.9741909
2001-10-03,0.6,0.4,0.0,0.012476938270242854,93993956.67315063
2001-10-04,0.6,0.4,0.0,-0.0013519015222748674,93866886.10003956
2001-10-05,0.6,0.4,0.0,0.0012330584220400453,93982629.45449589
2001-10-08,0.6,0.4,0.0,-0.005007602366361019,93512001.81684272
2001-10-09,0.6,0.4,0.0,-0.004516023178377337,93089699.44918141
2001-10-10,0.6,0.4,0.0,0.014122093513945977,94404320.88998786
2001-10-11,0.6,0.4,0.0,0.007491198543087484,95111522.40110008
2001-10-12,0.6,0.4,0.0,-0.0030857136736074818,94818035.4759094
2001-10-15,0.6,0.4,0.0,0.000555444585983711,94870701.64036809
2001-10-16,0.6,0.4,0.0,0.004887360816363495,95334368.99018614
2001-10-17,0.6,0.4,0.0,-0.010802917709589232,94304479.64708956
2001-10-18,0.6,0.4,0.0,-0.004431871381218921,93886534.32262087
2001-10-19,0.6,0.4,0.0,0.0017472594223025162,94050578.4543434
2001-10-22,0.6,0.4,0.0,0.00944018857708313,94938433.65073615
2001-10-23,0.6,0.4,0.0,-0.0031861720509837265,94635943.466874
2001-10-24,0.6,0.4,0.0,0.0018740709285949286,94813297.93732542
2001-10-25,0.6,0.4,0.0,0.00944055108563333,95708387.7201001
2001-10-26,0.6,0.4,0.0,0.002689974098509307,95965840.80407727
2001-10-29,0.6,0.4,0.0,-0.013134157739246775,94705410.31337707
2001-10-30,0.6,0.4,0.0,-0.009098709018270546,93843713.34247974
2001-10-31,0.6,0.4,0.0,0.004020380662126088,94221000.79286395
2001-11-01,0.6,0.4,0.0,0.014633912128155303,95599822.63909358
2001-11-02,0.6,0.4,0.0,-0.0011310700720981173,95491692.54080862
2001-11-05,0.6,0.4,0.0,0.010428987299126603,96487574.1894888
2001-11-06,0.6,0.4,0.0,0.00935648096619266,97390358.34086685
2001-11-07,0.6,0.4,0.0,0.0007264504917269931,97461107.61457305
2001-11-08,0.6,0.4,0.0,-0.0005345217099365751,97409012.53667858
2001-11-09,0.6,0.4,0.0,0.0005352669626724981,97461152.36295603
2001-11-12,0.6,0.4,0.0,-0.001061771776152609,97357670.86210573
2001-11-13,0.6,0.4,0.0,0.0099906367305997,98330335.98462632
2001-11-14,0.6,0.4,0.0,-0.0016419504635808216,98168882.4438723
2001-11-15,0.6,0.4,0.0,-0.004452657832676099,97731770.00053352
2001-11-16,0.6,0.4,0.0,-0.004864654704092542,97256338.68586113
2001-11-19,0.6,0.4,0.0,0.009717853219956218,98201461.50992069
2001-11-20,0.6,0.4,0.0,-0.006766002805123451,97537030.14587735
2001-11-21,0.6,0.4,0.0,-0.00509167575656666,97040403.21411607
2001-11-22,0.6,0.4,0.0,0.0,97040403.21411607
2001-11-23,0.6,0.4,0.0,0.005994640904593363,97622125.58462164
2001-11-26,0.6,0.4,0.0,0.003600187473992555,97973583.53833593
2001-11-27,0.6,0.4,0.0,-0.0029761192130511203,97682002.47399603
2001-11-28,0.6,0.4,0.0,-0.010718408795648315,96635006.8395022
2001-11-29,0.6,0.4,0.0,0.00978656575567336,97580731.68823692
2001-11-30,0.6,0.4,0.0,-0.00043385867191993995,97538395.4415817
2001-12-03,0.6,0.4,0.0,-0.004079753562304988,97140462.8253174
2001-12-04,0.6,0.4,0.0,0.009406841201838967,98054247.73338829
2001-12-05,0.6,0.4,0.0,0.008386049442527455,98876535.50293031
2001-12-06,0.6,0.4,0.0,-0.003997493467855428,98481277.19813319
2001-12-07,0.6,0.4,0.0,-0.007778596994920672,97715231.03126384
2001-12-10,0.6,0.4,0.0,-0.008395706842339812,96894842.59749384
2001-12-11,0.6,0.4,0.0,-0.00038788641701403815,96857258.40417157
2001-12-12,0.6,0.4,0.0,0.0023222847919213145,97082188.54235077
2001-12-13,0.6,0.4,0.0,-0.01158569698223837,95957423.72352655
2001-12-14,0.6,0.4,0.0,0.0006344235762565818,96018301.37545359
2001-12-17,0.6,0.4,0.0,0.004898342954583024,96488631.94550708
2001-12-18,0.6,0.4,0.0,0.007005705706407639,97164602.90493119
2001-12-19,0.6,0.4,0.0,0.005345737401031991,97684019.3567365
2001-12-20,0.6,0.4,0.0,-0.005198865534295516,97176173.27525131
2001-12-21,0.6,0.4,0.0,0.002058575563640774,97376217.77092387
2001-12-24,0.6,0.4,0.0,-0.0009455467678189499,97284144.00294814
2001-12-25,0.6,0.4,0.0,0.0,97284144.00294814
2001-12-26,0.6,0.4,0.0,0.0016209870718652208,97441840.3426744
2001-12-27,0.6,0.4,0.0,0.00586394707855371,98013234.13768072
2001-12-28,0.6,0.4,0.0,0.0013769145325488895,98148189.98414701
2001-12-31,0.6,0.4,0.0,-0.004586416089014355,97698041.54649608
2002-01-01,0.6,0.4,0.0,0.0,97698041.54649608
2002-01-02,0.6,0.4,0.0,0.0007970343901010585,97775910.24545416
2002-01-03,0.6,0.4,0.0,0.0063165948515539585,98393521.0567166
2002-01-04,0.6,0.4,0.0,0.0032844309942840154,98716687.78691202
2002-01-07,0.6,0.4,0.0,-0.0013257297181448855,98585816.14023608
2002-01-08,0.6,0.4,0.0,-0.002076811644123144,98381071.96933065
2002-01-09,0.6,0.4,0.0,-0.002595900904238335,98125684.45564553
2002-01-10,0.6,0.4,0.0,0.0032765168803175816,98447194.91715717
2002-01-11,0.6,0.4,0.0,-0.0037366840038370423,98079328.8586876
2002-01-14,0.6,0.4,0.0,-0.0038494295947027134,97701779.3875504
2002-01-15,0.6,0.4,0.0,0.005041132767946,98194307.02910762
2002-01-16,0.6,0.4,0.0,-0.010031182075957634,97209302.05647615
2002-01-17,0.6,0.4,0.0,0.0042010201043453325,97617680.28874479
2002-01-18,0.6,0.4,0.0,-0.004810940811924724,97148047.40667824
2002-01-21,0.6,0.4,0.0,0.0,97148047.40667824
2002-01-22,0.6,0.4,0.0,-0.004594858308238491,96701665.89392252
2002-01-23,0.6,0.4,0.0,0.0024129553116287276,96935002.69228463
2002-01-24,0.6,0.4,0.0,0.0016929338703094209,97099107.24156092
2002-01-25,0.6,0.4,0.0,0.00015810153282402867,97114458.75925165
2002-01-28,0.6,0.4,0.0,0.00016622542494062475,97130601.65142678
2002-01-29,0.6,0.4,0.0,-0.014796811645106045,95693378.4338148
2002-01-30,0.6,0.4,0.0,0.007086593394600448,96371518.49733086
2002-01-31,0.6,0.4,0.0,0.00796089914779734,97138722.4368082
2002-02-01,0.6,0.4,0.0,-0.0032128520930002624,96826630.08911572
2002-02-04,0.6,0.4,0.0,-0.012966507351189692,95571126.87827429
2002-02-05,0.6,0.4,0.0,-0.0024550040139530217,95336499.37817012
2002-02-06,0.6,0.4,0.0,-0.004064180914046256,94949034.59698537
2002-02-07,0.6,0.4,0.0,-0.0023664135606524138,94724345.91394421
2002-02-08,0.6,0.4,0.0,0.010097206061122988,95680797.15364242
2002-02-11,0.6,0.4,0.0,0.008289008994630675,96473896.14186238
2002-02-12,0.6,0.4,0.0,-0.003908450381662898,96096832.70566621
2002-02-13,0.6,0.4,0.0,0.005738961042787105,96648328.68489927
2002-02-14,0.6,0.4,0.0,4.258908850771634e-05,96652444.84912375
2002-02-15,0.6,0.4,0.0,-0.004874188799228407,96181342.5850221
2002-02-18,0.6,0.4,0.0,0.0,96181342.5850221
2002-02-19,0.6,0.4,0.0,-0.011508018800496544,95074485.88629666
2002-02-20,0.6,0.4,0.0,0.008190586961862412,95853201.73080274
2002-02-21,0.6,0.4,0.0,-0.008862649974827573,95003688.3548961
2002-02-22,0.6,0.4,0.0,0.005744961084105249,95549480.84734143
2002-02-25,0.6,0.4,0.0,0.010473738132986554,96550241.08847928
2002-02-26,0.6,0.4,0.0,-0.001456898338857915,96409577.20262116
2002-02-27,0.6,0.4,0.0,0.0024443529746356776,96645236.23943974
2002-02-28,0.6,0.4,0.0,-0.0026407824113489297,96390017.19943798
2002-03-01,0.6,0.4,0.0,0.011338859771667797,97482970.08785103
2002-03-04,0.6,0.4,0.0,0.011445128026399631,98598675.16090019
2002-03-05,0.6,0.4,0.0,-0.0038312284650672936,98220921.11000583
2002-03-06,0.6,0.4,0.0,0.008036025599066354,99010226.9464097
2002-03-07,0.6,0.4,0.0,-0.006318132049399306,98384667.25832129
