peak_date,trough_date,recovery_date,drawdown,peak_to_trough_days,duration_days,dominant_regime,trend_return,active_return
2007-10-09,2009-03-09,2010-10-15,-0.3268328292060474,369,788,Bull Steepener,0.048833767331879274,0.37566659653792667
2001-05-21,2002-07-23,2003-12-17,-0.21139835507541882,306,672,Unclassified,0.013881012140210647,0.22527936721562947
2021-12-27,2022-10-14,2024-01-24,-0.1989085039185865,209,542,Bear Flattener,0.030457855364214304,0.2293663592828008
2020-02-19,2020-03-23,2020-06-04,-0.19496106505005806,23,76,Unclassified,-0.006819505995447783,0.18814155905461027
2018-09-21,2018-12-24,2019-03-14,-0.11116166681183759,66,124,Bear Flattener,-0.021409831870196627,0.08975183494164096
2025-02-19,2025-04-08,2025-06-09,-0.10918132928943503,34,78,Unclassified,-0.041138119774999704,0.06804320951443532
2011-07-22,2011-08-08,2012-01-02,-0.09289715056881964,11,116,Unclassified,-0.019595976393199876,0.07330117417561977
2015-05-21,2015-08-25,2015-10-27,-0.06905596011604898,68,113,Unclassified,-0.019414691791589278,0.0496412683244597
