Regime,Days,Avg Stock weight,Avg Bond weight,Avg Trend weight
Bull Steepener,952,0.25111988705580385,0.6651437616410657,0.08373635130313041
Bull Flattener,515,0.12355123091276347,0.6835005403017629,0.19294822878547377
Bear Steepener,423,0.15039369701125765,0.5758080239007342,0.27379827908800813
Bear Flattener,909,0.1784070884686722,0.3813617588404497,0.440231152690878
Steepener Twist,85,0.2464995433294291,0.48165128002710533,0.2718491766434654
Flattener Twist,234,0.14160950612584375,0.6063360270492726,0.25205446682488375
Unclassified,3406,0.18885858125671953,0.657368350187183,0.15377306855609746
