regime,Commodity-Trend,60/40,Dynamic MV
Bull Steepener,-0.05264286156803715,-0.07104678076010275,-0.03454003560239293
Bull Flattener,-0.05415814457092822,-0.051942264933485804,-0.013778816291587767
Bear Steepener,-0.050448990345585636,-0.02796518547582724,-0.04092049460785104
Bear Flattener,-0.05255163619933405,-0.05718788388679397,-0.049852034164434456
Steepener Twist,-0.05951575245737282,-0.07567240006687405,-0.0406559045945553
Flattener Twist,-0.05290945975973956,-0.009467747925605943,-0.004516705925750638
Unclassified,-0.06402413724700096,-0.027445325303147097,-0.02329347545036424
