Regime,Corr sign,N days,Trend Sharpe,60/40 Sharpe,Active Sharpe
Bull Steepener,Negative corr,796,2.0569437244992232,0.6657302264269463,0.2906564096999113
Bull Flattener,Negative corr,479,-0.03463007660621686,1.1638805378706985,-1.0763767865397125
Bear Steepener,Positive corr,135,0.1576155992946327,4.3163635759050925,-2.231176201856204
Bear Steepener,Negative corr,272,0.676360030379924,0.656520405213612,0.01390269097948508
Bear Flattener,Positive corr,370,-0.9861683402744479,0.25796246791984817,-0.8550781678980869
Bear Flattener,Negative corr,490,0.8720694524601654,0.23081654058878392,0.21571098316932968
Steepener Twist,Negative corr,64,-0.45900123974005097,1.554166002629228,-1.4404570877037157
Flattener Twist,Positive corr,43,2.836839652501366,1.1350843577766474,0.561410389234763
Flattener Twist,Negative corr,182,2.054408993589361,0.25717573264482146,0.9531072678259316
