regime,Negative corr (corr ≤ 0),Positive corr (corr > 0)
Bull Steepener,0.9778869778869779,0.022113022113022112
Bull Flattener,0.9716024340770791,0.028397565922920892
Bear Steepener,0.6683046683046683,0.3316953316953317
Bear Flattener,0.5697674418604651,0.43023255813953487
Steepener Twist,0.8767123287671232,0.1232876712328767
Flattener Twist,0.8088888888888889,0.19111111111111112
Unclassified,0.7656495753381567,0.23435042466184336
