,Positive corr (DR avg),Negative corr (DR avg),DR loss when corr > 0
60/40,1.193553345906033,1.2493402881702687,0.05578694226423564
54/36/10,1.2583052534077848,1.308288621779129,0.049983368371344206
48/32/20,1.3165590347614773,1.3649876680972979,0.04842863333582059
